site_width,site_height,room_cnt,injury_cnt,robot_type,robot_cnt,room_visited,injury_rescued,total_action_cnt,robot_0_visits,robot_0_rescues,robot_0_collides,robot_1_visits,robot_1_rescues,robot_1_collides,robot_2_visits,robot_2_rescues,robot_2_collides,robot_3_visits,robot_3_rescues,robot_3_collides,robot_4_visits,robot_4_rescues,robot_4_collides,robot_5_visits,robot_5_rescues,robot_5_collides,robot_6_visits,robot_6_rescues,robot_6_collides,robot_7_visits,robot_7_rescues,robot_7_collides
120,60,120,10,RobotUsingGas,8,101,9,10000,8,1,4545,1,0,11,22,2,4,11,1,4546,12,1,0,6,1,17,15,1,4,26,2,0
120,60,120,10,RobotUsingGas,8,110,10,10000,23,4,1,9,0,0,7,0,2,5,1,4462,37,1,2,3,1,2,23,3,1,3,0,4462
120,60,120,10,RobotUsingGas,8,96,9,10000,12,0,5,24,2,3756,9,1,0,17,4,0,6,1,8,4,1,10,8,0,3751,16,0,0
120,60,120,10,RobotUsingGas,8,120,10,4064,2,2,5,40,4,1,17,0,0,5,0,2,25,1,0,16,1,2,13,1,0,2,1,3
120,60,120,10,RobotUsingGas,8,88,7,10000,19,3,0,2,0,4798,5,3,4798,8,0,2,5,0,12,4,0,115,41,1,0,4,0,2
120,60,120,10,RobotUsingGas,8,102,10,10000,2,1,0,20,1,9,19,2,2,0,0,4984,1,0,4984,4,1,8,3,0,0,53,5,0
120,60,120,10,RobotUsingGas,8,90,6,10000,11,0,0,8,1,2858,18,0,4,8,0,6,15,2,4,11,1,2859,16,2,0,3,0,5
120,60,120,10,RobotUsingGas,8,114,10,10000,21,3,4,4,0,6,16,0,0,4,0,4,39,5,3,17,1,0,8,0,6,5,1,3
120,60,120,10,RobotUsingGas,8,116,9,10000,14,0,0,13,1,0,7,0,22,37,3,3,17,1,4,1,0,4,5,2,23,22,2,0
120,60,120,10,RobotUsingGas,8,79,6,10000,3,0,12,0,0,53,4,0,27,1,0,4915,4,0,4915,5,0,0,44,4,14,18,2,7
120,60,120,10,RobotUsingGas,8,104,9,10000,15,2,0,4,0,0,5,1,1,4,0,4485,11,3,8,39,2,1,4,0,4487,22,1,2
120,60,120,10,RobotUsingGas,8,110,10,10000,2,0,4678,5,0,0,40,4,0,4,1,2,16,2,3,28,2,0,10,1,0,5,0,4678
120,60,120,10,RobotUsingGas,8,105,9,10000,3,0,3,9,1,6,21,5,0,4,0,0,24,1,0,7,0,5,33,2,1866,4,0,1882
120,60,120,10,RobotUsingGas,8,84,6,10000,6,0,12,23,3,0,12,0,12,11,1,8,5,0,0,7,0,0,19,2,21,1,0,3
120,60,120,10,RobotUsingGas,8,104,8,10000,4,0,2,40,3,10,14,1,0,34,3,2,4,0,17,2,0,24,4,1,10,2,0,6
120,60,120,10,RobotUsingGas,8,106,8,10000,10,0,0,26,3,0,2,0,4388,12,2,13,5,1,4385,12,0,0,16,1,3,23,1,10
120,60,120,10,RobotUsingGas,8,113,9,10000,10,1,1667,3,0,12,37,3,0,4,0,1661,5,2,5,20,2,0,27,0,3588,7,1,3602
120,60,120,10,RobotUsingGas,8,97,9,10000,23,2,0,45,4,7,7,0,0,3,0,33,1,0,3,11,3,2,4,0,2,3,0,45
120,60,120,10,RobotUsingGas,8,97,7,10000,14,0,2,4,0,1,13,1,0,24,0,7,5,1,4,30,5,2,6,0,7,1,0,4
120,60,120,10,RobotUsingGas,8,106,10,10000,34,3,16,3,0,0,5,1,8,3,0,4813,6,0,7,27,3,0,4,0,4815,24,3,0
120,60,120,10,RobotUsingGas,8,117,10,10000,9,0,0,19,3,0,4,1,2,16,2,2,4,0,6,9,0,0,48,3,6,8,1,5
120,60,120,10,RobotUsingGas,8,95,6,10000,6,0,11,16,1,0,9,0,14,16,0,0,2,1,11,16,3,3,17,0,9,13,1,1
120,60,120,10,RobotUsingGas,8,95,7,10000,18,0,3978,19,2,1,4,1,3,15,2,0,8,0,3983,17,1,0,5,0,4,9,1,0
120,60,120,10,RobotUsingGas,8,109,10,10000,1,0,9,7,1,0,29,4,3081,10,1,4,1,0,12,3,0,0,22,1,3293,36,3,3292
120,60,120,10,RobotUsingGas,8,112,10,10000,32,4,0,7,1,8,1,0,13,18,1,3,21,1,1,19,2,0,12,1,3,2,0,0
120,60,120,10,RobotUsingGas,8,118,10,10000,3,1,3231,24,0,0,22,2,1,19,0,2,6,2,3228,9,3,1,28,1,3,7,1,4
120,60,120,10,RobotUsingGas,8,111,10,10000,30,4,3,3,0,0,5,0,0,14,3,1,13,1,2,12,0,0,18,2,0,16,0,1
120,60,120,10,RobotUsingGas,8,114,9,10000,5,0,975,20,1,0,7,0,975,37,3,1,7,1,1,9,0,0,12,3,0,17,1,5
120,60,120,10,RobotUsingGas,8,78,5,10000,15,3,5,7,0,8,13,0,1,22,2,0,1,0,4,2,0,19,10,0,2,8,0,16
120,60,120,10,RobotUsingGas,8,111,10,10000,29,5,3,3,0,0,32,2,4,16,1,4,6,0,6,8,1,4301,11,1,4299,6,0,9
120,60,120,10,RobotUsingGas,8,80,7,10000,13,0,0,3,0,3170,13,3,0,16,2,0,13,1,1,2,0,3146,2,0,3149,18,1,1
120,60,120,10,RobotUsingGas,8,81,8,10000,18,2,4,5,0,3505,18,2,6,10,0,7,11,3,2,3,0,3508,11,0,0,5,1,4
120,60,120,10,RobotUsingGas,8,112,10,10000,6,0,3,4,1,24,1,0,1,28,3,0,1,0,25,15,1,2,17,1,2,40,4,4
